NAME,WEEKS
DeVonta Smith,"[(1, 'GB', 0.0), (2, 'ATL', 0.0), (3, 'NO', 0.0), (6, 'CLE', 0.0), (8, 'CIN', 0.0), (9, 'JAX', 0.0)]"
Patrick Mahomes,"[(1, 'BAL', 0.0), (2, 'CIN', 0.0), (3, 'ATL', 0.0), (4, 'LAC', 0.0), (5, 'NO', 0.0), (7, 'SF', 0.0), (8, 'LV', 0.0), (9, 'TB', 0.0), (10, 'DEN', 0.0), (11, 'BUF', 0.0), (12, 'CAR', 0.0), (13, 'LV', 0.0)]"
Chase McLaughlin,"[(1, 'WAS', 0.0), (5, 'ATL', 0.0), (13, 'CAR', 0.0)]"
Ladd McConkey,"[(1, 'LV', 0.0), (4, 'KC', 0.0), (8, 'NO', 0.0), (9, 'CLE', 0.0), (11, 'CIN', 0.0), (12, 'BAL', 0.0), (13, 'ATL', 0.0)]"
Brian Thomas Jr.,"[(1, 'MIA', 0.0), (2, 'CLE', 0.0), (4, 'HOU', 0.0), (5, 'IND', 0.0), (7, 'NE', 0.0), (8, 'GB', 0.0), (11, 'DET', 0.0), (13, 'HOU', 0.0)]"
Matthew Stafford,"[(1, 'DET', 0.0), (3, 'SF', 0.0), (5, 'GB', 0.0), (8, 'MIN', 0.0), (9, 'SEA', 0.0), (10, 'MIA', 0.0), (11, 'NE', 0.0), (12, 'PHI', 0.0), (13, 'NO', 0.0)]"
Sam Darnold,"[(1, 'NYG', 0.0), (2, 'SF', 0.0), (3, 'HOU', 0.0), (4, 'GB', 0.0), (7, 'DET', 0.0), (8, 'LAR', 0.0), (9, 'IND', 0.0), (11, 'TEN', 0.0), (12, 'CHI', 0.0), (13, 'ARI', 0.0)]"
Brandin Cooks,"[(1, 'CLE', 0.0)]"
Kyren Williams,"[(1, 'DET', 0.0), (2, 'ARI', 0.0), (3, 'SF', 0.0), (4, 'CHI', 0.0), (5, 'GB', 0.0), (7, 'LV', 0.0), (8, 'MIN', 0.0), (10, 'MIA', 0.0), (12, 'PHI', 0.0), (13, 'NO', 0.0)]"
Foster Moreau,"[(1, 'CAR', 0.0)]"
Kyler Murray,"[(1, 'BUF', 0.0), (2, 'LAR', 0.0), (3, 'DET', 0.0), (5, 'SF', 0.0), (6, 'GB', 0.0), (7, 'LAC', 0.0), (8, 'MIA', 0.0), (10, 'NYJ', 0.0), (12, 'SEA', 0.0), (13, 'MIN', 0.0)]"
Zack Moss,"[(1, 'NE', 0.0), (3, 'WAS', 0.0), (4, 'CAR', 0.0)]"
Tyler Lockett,"[(1, 'DEN', 0.0), (6, 'SF', 0.0), (9, 'LAR', 0.0)]"
CeeDee Lamb,"[(1, 'CLE', 0.0), (2, 'NO', 0.0), (4, 'NYG', 0.0), (6, 'DET', 0.0), (8, 'SF', 0.0), (9, 'ATL', 0.0), (11, 'HOU', 0.0), (12, 'WAS', 0.0)]"
George Pickens,"[(1, 'ATL', 0.0), (4, 'IND', 0.0), (7, 'NYJ', 0.0), (10, 'WAS', 0.0), (11, 'BAL', 0.0), (13, 'CIN', 0.0)]"
James Cook,"[(1, 'ARI', 0.0), (2, 'MIA', 0.0), (3, 'JAX', 0.0), (5, 'HOU', 0.0), (8, 'SEA', 0.0), (9, 'MIA', 0.0), (10, 'IND', 0.0), (11, 'KC', 0.0), (13, 'SF', 0.0)]"
Khalil Shakir,"[(1, 'ARI', 0.0), (2, 'MIA', 0.0), (3, 'JAX', 0.0), (7, 'TEN', 0.0), (8, 'SEA', 0.0), (10, 'IND', 0.0), (11, 'KC', 0.0)]"
Tyler Johnson,"[(1, 'DET', 0.0)]"
Ezekiel Elliott,"[(1, 'CLE', 0.0)]"
Ashton Dulin,"[(1, 'HOU', 0.0)]"
Josh Jacobs,"[(1, 'PHI', 0.0), (2, 'IND', 0.0), (4, 'MIN', 0.0), (5, 'LAR', 0.0), (6, 'ARI', 0.0), (7, 'HOU', 0.0), (8, 'JAX', 0.0), (9, 'DET', 0.0), (11, 'CHI', 0.0), (12, 'SF', 0.0), (13, 'MIA', 0.0)]"
Ja'Marr Chase,"[(1, 'NE', 0.0), (3, 'WAS', 0.0), (4, 'CAR', 0.0), (5, 'BAL', 0.0), (6, 'NYG', 0.0), (7, 'CLE', 0.0), (8, 'PHI', 0.0), (9, 'LV', 0.0), (10, 'BAL', 0.0), (11, 'LAC', 0.0), (13, 'PIT', 0.0)]"
Jamaal Williams,"[(1, 'CAR', 0.0)]"
Zach Charbonnet,"[(1, 'DEN', 0.0), (2, 'NE', 0.0), (3, 'MIA', 0.0)]"
Cameron Dicker,"[(1, 'LV', 0.0), (7, 'ARI', 0.0), (11, 'CIN', 0.0), (12, 'BAL', 0.0)]"
Cairo Santos,"[(1, 'TEN', 0.0), (2, 'HOU', 0.0), (9, 'ARI', 0.0)]"
Garrett Wilson,"[(1, 'SF', 0.0), (3, 'NE', 0.0), (5, 'MIN', 0.0), (6, 'BUF', 0.0), (7, 'PIT', 0.0), (8, 'NE', 0.0), (9, 'HOU', 0.0)]"
Justin Fields,"[(1, 'ATL', 0.0), (2, 'DEN', 0.0), (3, 'LAC', 0.0), (4, 'IND', 0.0), (5, 'DAL', 0.0), (6, 'LV', 0.0)]"
Travis Etienne Jr.,"[(1, 'MIA', 0.0), (2, 'CLE', 0.0), (3, 'BUF', 0.0), (5, 'IND', 0.0)]"
